saint,st,,,,,,,,,
pomme_de_terre,pomme terre,pomme saute,pomme vapeur,pomme noisette,pdt,,,,,
chocolat,choco,choc,,,,,,,,
chipolata,chipo,,,,,,,,,
aromatise,aro,,,,,,,,,
chou,chx,,,,,,,,,
surgele,surg,,,,,,,,,
biologique,bio,agro,bbc,,,,,,,
cuisine_fermee,cuisine ferme,,,,,,,,,
,au,de,du,et,la,en,ou,les,aux,sa
,kg,gr,des,sans,,,,,,
